Conductor,Rank,mu_5,lam_5,lam_5_MW,Lp_old,Lp_new,Reg_p,Tam(E),G
354c1,1,0.0,3.0,1.0,"((1 + O(5))*T + (2*5^-1 + 2 + O(5))*T^3 + (3*5^-1 + 2 + O(5))*T^4 + (2*5^-1 + O(5^0))*T^5 + O(T^6), (4 + 2*5 + O(5^2))*T + (2*5 + O(5^2))*T^3 + (2*5 + O(5^2))*T^4 + (4*5^-1 + 2 + O(5))*T^5 + O(T^6))","(O(5^2)*T + (3 + 2*5 + O(5^2))*T^3 + (2 + 2*5 + O(5^2))*T^4 + (4 + O(5))*T^5 + O(T^6), (5 + O(5^3))*T + (3*5 + 3*5^2 + O(5^3))*T^3 + (2*5 + 2*5^2 + O(5^3))*T^4 + (1 + 4*5 + O(5^2))*T^5 + O(T^6))","(3*5^3 + 4*5^4 + 2*5^5 + O(5^25), 3*5^2 + 3*5^4 + 2*5^5 + O(5^24))",2,(2 + O(5))*T + (2*5^-1 + 1 + O(5))*T^3 + (3*5^-1 + 3 + O(5))*T^4 + (3*5^-1 + O(5^0))*T^5 + O(T^6)
354c1,1,0.0,1.0,1.0,"((1 + O(5))*T + (2*5^-1 + 2 + O(5))*T^3 + (3*5^-1 + 2 + O(5))*T^4 + (2*5^-1 + O(5^0))*T^5 + O(T^6), (4 + 2*5 + O(5^2))*T + (2*5 + O(5^2))*T^3 + (2*5 + O(5^2))*T^4 + (4*5^-1 + 2 + O(5))*T^5 + O(T^6))","(O(5^2)*T + (3 + 2*5 + O(5^2))*T^3 + (2 + 2*5 + O(5^2))*T^4 + (4 + O(5))*T^5 + O(T^6), (5 + O(5^3))*T + (3*5 + 3*5^2 + O(5^3))*T^3 + (2*5 + 2*5^2 + O(5^3))*T^4 + (1 + 4*5 + O(5^2))*T^5 + O(T^6))","(3*5^3 + 4*5^4 + 2*5^5 + O(5^25), 3*5^2 + 3*5^4 + 2*5^5 + O(5^24))",2,(2 + O(5))*T + (2*5^-1 + 1 + O(5))*T^3 + (3*5^-1 + 3 + O(5))*T^4 + (3*5^-1 + O(5^0))*T^5 + O(T^6)
427c1,1,0.0,3.0,1.0,"((1 + O(5))*T + (1 + O(5))*T^2 + (3*5^-1 + O(5))*T^3 + (1 + O(5))*T^4 + (4*5^-1 + O(5^0))*T^5 + O(T^6), (3 + 5 + O(5^2))*T + (3 + 5 + O(5^2))*T^2 + O(5^2)*T^3 + (2*5 + O(5^2))*T^4 + (3*5^-1 + 3 + O(5))*T^5 + O(T^6))","((5 + O(5^2))*T + (5 + O(5^2))*T^2 + (2 + O(5^2))*T^3 + (4*5 + O(5^2))*T^4 + (3 + O(5))*T^5 + O(T^6), (2*5 + 4*5^2 + O(5^3))*T + (2*5 + 4*5^2 + O(5^3))*T^2 + (2*5 + 5^2 + O(5^3))*T^3 + (2*5^2 + O(5^3))*T^4 + (2 + 4*5 + O(5^2))*T^5 + O(T^6))","(5^2 + 2*5^3 + 3*5^4 + 4*5^5 + O(5^24), 2*5^2 + 4*5^3 + 4*5^5 + O(5^24))",1,(3 + O(5))*T + (3 + O(5))*T^2 + (3*5^-1 + O(5))*T^3 + (1 + O(5))*T^4 + (5^-1 + O(5^0))*T^5 + O(T^6)
427c1,1,0.0,1.0,1.0,"((1 + O(5))*T + (1 + O(5))*T^2 + (3*5^-1 + O(5))*T^3 + (1 + O(5))*T^4 + (4*5^-1 + O(5^0))*T^5 + O(T^6), (3 + 5 + O(5^2))*T + (3 + 5 + O(5^2))*T^2 + O(5^2)*T^3 + (2*5 + O(5^2))*T^4 + (3*5^-1 + 3 + O(5))*T^5 + O(T^6))","((5 + O(5^2))*T + (5 + O(5^2))*T^2 + (2 + O(5^2))*T^3 + (4*5 + O(5^2))*T^4 + (3 + O(5))*T^5 + O(T^6), (2*5 + 4*5^2 + O(5^3))*T + (2*5 + 4*5^2 + O(5^3))*T^2 + (2*5 + 5^2 + O(5^3))*T^3 + (2*5^2 + O(5^3))*T^4 + (2 + 4*5 + O(5^2))*T^5 + O(T^6))","(5^2 + 2*5^3 + 3*5^4 + 4*5^5 + O(5^24), 2*5^2 + 4*5^3 + 4*5^5 + O(5^24))",1,(3 + O(5))*T + (3 + O(5))*T^2 + (3*5^-1 + O(5))*T^3 + (1 + O(5))*T^4 + (5^-1 + O(5^0))*T^5 + O(T^6)
438c1,1,0.0,3.0,1.0,"((4 + O(5))*T + (2 + O(5))*T^2 + (4*5^-1 + 2 + O(5))*T^3 + (3*5^-1 + 1 + O(5))*T^4 + (4*5^-1 + O(5^0))*T^5 + O(T^6), (1 + 3*5 + O(5^2))*T + (3 + 4*5 + O(5^2))*T^2 + (2 + 2*5 + O(5^2))*T^3 + (4 + 3*5 + O(5^2))*T^4 + (5^-1 + 2 + O(5))*T^5 + O(T^6))","((3*5 + O(5^2))*T + (4*5 + O(5^2))*T^2 + (1 + 4*5 + O(5^2))*T^3 + (2 + 2*5 + O(5^2))*T^4 + (3 + O(5))*T^5 + O(T^6), (4*5 + 2*5^2 + O(5^3))*T + (2*5 + 3*5^2 + O(5^3))*T^2 + (2*5^2 + O(5^3))*T^3 + (3*5^2 + O(5^3))*T^4 + (4 + 3*5 + O(5^2))*T^5 + O(T^6))","(3*5^2 + 4*5^4 + 5^5 + O(5^24), 4*5^2 + 2*5^3 + 5^4 + 5^5 + O(5^24))",4,O(5)*T + O(5)*T^2 + (4*5^-1 + 1 + O(5))*T^3 + (3*5^-1 + 4 + O(5))*T^4 + O(5^0)*T^5 + O(T^6)
438c1,1,0.0,1.0,1.0,"((4 + O(5))*T + (2 + O(5))*T^2 + (4*5^-1 + 2 + O(5))*T^3 + (3*5^-1 + 1 + O(5))*T^4 + (4*5^-1 + O(5^0))*T^5 + O(T^6), (1 + 3*5 + O(5^2))*T + (3 + 4*5 + O(5^2))*T^2 + (2 + 2*5 + O(5^2))*T^3 + (4 + 3*5 + O(5^2))*T^4 + (5^-1 + 2 + O(5))*T^5 + O(T^6))","((3*5 + O(5^2))*T + (4*5 + O(5^2))*T^2 + (1 + 4*5 + O(5^2))*T^3 + (2 + 2*5 + O(5^2))*T^4 + (3 + O(5))*T^5 + O(T^6), (4*5 + 2*5^2 + O(5^3))*T + (2*5 + 3*5^2 + O(5^3))*T^2 + (2*5^2 + O(5^3))*T^3 + (3*5^2 + O(5^3))*T^4 + (4 + 3*5 + O(5^2))*T^5 + O(T^6))","(3*5^2 + 4*5^4 + 5^5 + O(5^24), 4*5^2 + 2*5^3 + 5^4 + 5^5 + O(5^24))",4,O(5)*T + O(5)*T^2 + (4*5^-1 + 1 + O(5))*T^3 + (3*5^-1 + 4 + O(5))*T^4 + O(5^0)*T^5 + O(T^6)
477a1,1,0.0,3.0,1.0,"((3 + O(5))*T + (3 + O(5))*T^2 + (2*5^-1 + 3 + O(5))*T^3 + (3 + O(5))*T^4 + (2*5^-1 + O(5^0))*T^5 + O(T^6), (2 + 4*5 + O(5^2))*T + (2 + 4*5 + O(5^2))*T^2 + (2 + 2*5 + O(5^2))*T^3 + (5 + O(5^2))*T^4 + (2*5^-1 + 3 + O(5))*T^5 + O(T^6))","(O(5^2)*T + O(5^2)*T^2 + (3 + 5 + O(5^2))*T^3 + (2*5 + O(5^2))*T^4 + (1 + O(5))*T^5 + O(T^6), (3*5 + 2*5^2 + O(5^3))*T + (3*5 + 2*5^2 + O(5^3))*T^2 + (5 + 3*5^2 + O(5^3))*T^3 + (5^2 + O(5^3))*T^4 + (3 + 4*5 + O(5^2))*T^5 + O(T^6))","(2*5^3 + 2*5^4 + 3*5^5 + O(5^25), 3*5^2 + 5^3 + 2*5^4 + O(5^24))",1,(1 + O(5))*T + (1 + O(5))*T^2 + (2*5^-1 + 3 + O(5))*T^3 + (3 + O(5))*T^4 + O(5^0)*T^5 + O(T^6)
477a1,1,0.0,1.0,1.0,"((3 + O(5))*T + (3 + O(5))*T^2 + (2*5^-1 + 3 + O(5))*T^3 + (3 + O(5))*T^4 + (2*5^-1 + O(5^0))*T^5 + O(T^6), (2 + 4*5 + O(5^2))*T + (2 + 4*5 + O(5^2))*T^2 + (2 + 2*5 + O(5^2))*T^3 + (5 + O(5^2))*T^4 + (2*5^-1 + 3 + O(5))*T^5 + O(T^6))","(O(5^2)*T + O(5^2)*T^2 + (3 + 5 + O(5^2))*T^3 + (2*5 + O(5^2))*T^4 + (1 + O(5))*T^5 + O(T^6), (3*5 + 2*5^2 + O(5^3))*T + (3*5 + 2*5^2 + O(5^3))*T^2 + (5 + 3*5^2 + O(5^3))*T^3 + (5^2 + O(5^3))*T^4 + (3 + 4*5 + O(5^2))*T^5 + O(T^6))","(2*5^3 + 2*5^4 + 3*5^5 + O(5^25), 3*5^2 + 5^3 + 2*5^4 + O(5^24))",1,(1 + O(5))*T + (1 + O(5))*T^2 + (2*5^-1 + 3 + O(5))*T^3 + (3 + O(5))*T^4 + O(5^0)*T^5 + O(T^6)
486a1,1,0.0,3.0,1.0,"((1 + O(5))*T + (1 + O(5))*T^2 + (3*5^-1 + 2 + O(5))*T^3 + (4 + O(5))*T^4 + (4*5^-1 + O(5^0))*T^5 + O(T^6), (4 + 3*5 + O(5^2))*T + (4 + 3*5 + O(5^2))*T^2 + (1 + 3*5 + O(5^2))*T^3 + (3*5 + O(5^2))*T^4 + (4*5^-1 + 3 + O(5))*T^5 + O(T^6))","(O(5^2)*T + O(5^2)*T^2 + (2 + 4*5 + O(5^2))*T^3 + (5 + O(5^2))*T^4 + (2 + O(5))*T^5 + O(T^6), (5 + O(5^3))*T + (5 + O(5^3))*T^2 + (5 + 2*5^2 + O(5^3))*T^3 + (3*5^2 + O(5^3))*T^4 + (1 + 2*5 + O(5^2))*T^5 + O(T^6))","(5^3 + 2*5^5 + O(5^25), 3*5^2 + 3*5^3 + 3*5^4 + 4*5^5 + O(5^24))",2,(2 + O(5))*T + (2 + O(5))*T^2 + (3*5^-1 + 4 + O(5))*T^3 + (4 + O(5))*T^4 + O(5^0)*T^5 + O(T^6)
486a1,1,0.0,1.0,1.0,"((1 + O(5))*T + (1 + O(5))*T^2 + (3*5^-1 + 2 + O(5))*T^3 + (4 + O(5))*T^4 + (4*5^-1 + O(5^0))*T^5 + O(T^6), (4 + 3*5 + O(5^2))*T + (4 + 3*5 + O(5^2))*T^2 + (1 + 3*5 + O(5^2))*T^3 + (3*5 + O(5^2))*T^4 + (4*5^-1 + 3 + O(5))*T^5 + O(T^6))","(O(5^2)*T + O(5^2)*T^2 + (2 + 4*5 + O(5^2))*T^3 + (5 + O(5^2))*T^4 + (2 + O(5))*T^5 + O(T^6), (5 + O(5^3))*T + (5 + O(5^3))*T^2 + (5 + 2*5^2 + O(5^3))*T^3 + (3*5^2 + O(5^3))*T^4 + (1 + 2*5 + O(5^2))*T^5 + O(T^6))","(5^3 + 2*5^5 + O(5^25), 3*5^2 + 3*5^3 + 3*5^4 + 4*5^5 + O(5^24))",2,(2 + O(5))*T + (2 + O(5))*T^2 + (3*5^-1 + 4 + O(5))*T^3 + (4 + O(5))*T^4 + O(5^0)*T^5 + O(T^6)
528a1,1,0.0,5.0,5.0,"((1 + O(5))*T + (4 + O(5))*T^3 + (1 + O(5))*T^4 + (5^-1 + O(5^0))*T^5 + O(T^6), (1 + 4*5 + O(5^2))*T + (1 + 4*5 + O(5^2))*T^3 + (4 + 5 + O(5^2))*T^4 + (5^-1 + 3 + O(5))*T^5 + O(T^6))","((2*5 + O(5^2))*T + (4*5 + O(5^2))*T^3 + (5 + O(5^2))*T^4 + (2 + O(5))*T^5 + O(T^6), (4*5 + 4*5^2 + O(5^3))*T + (4*5 + O(5^3))*T^3 + (5 + 3*5^2 + O(5^3))*T^4 + (4 + O(5^2))*T^5 + O(T^6))","(2*5^2 + 5^4 + O(5^24), 4*5^2 + 5^3 + 5^4 + O(5^24))",4,(1 + O(5))*T + (4 + O(5))*T^3 + (1 + O(5))*T^4 + (5^-1 + O(5^0))*T^5 + O(T^6)
528a1,1,0.0,1.0,1.0,"((1 + O(5))*T + (4 + O(5))*T^3 + (1 + O(5))*T^4 + (5^-1 + O(5^0))*T^5 + O(T^6), (1 + 4*5 + O(5^2))*T + (1 + 4*5 + O(5^2))*T^3 + (4 + 5 + O(5^2))*T^4 + (5^-1 + 3 + O(5))*T^5 + O(T^6))","((2*5 + O(5^2))*T + (4*5 + O(5^2))*T^3 + (5 + O(5^2))*T^4 + (2 + O(5))*T^5 + O(T^6), (4*5 + 4*5^2 + O(5^3))*T + (4*5 + O(5^3))*T^3 + (5 + 3*5^2 + O(5^3))*T^4 + (4 + O(5^2))*T^5 + O(T^6))","(2*5^2 + 5^4 + O(5^24), 4*5^2 + 5^3 + 5^4 + O(5^24))",4,(1 + O(5))*T + (4 + O(5))*T^3 + (1 + O(5))*T^4 + (5^-1 + O(5^0))*T^5 + O(T^6)
528g1,1,0.0,3.0,1.0,"((1 + O(5))*T + (5^-1 + 4 + O(5))*T^3 + (4*5^-1 + 1 + O(5))*T^4 + (5^-1 + O(5^0))*T^5 + O(T^6), (3 + 5 + O(5^2))*T + (1 + O(5^2))*T^3 + (4 + O(5^2))*T^4 + (3*5^-1 + 4 + O(5))*T^5 + O(T^6))","((2*5 + O(5^2))*T + (4 + 5 + O(5^2))*T^3 + (1 + 2*5 + O(5^2))*T^4 + (2 + O(5))*T^5 + O(T^6), (2*5 + 2*5^2 + O(5^3))*T + (4*5^2 + O(5^3))*T^3 + (5^2 + O(5^3))*T^4 + (2 + 4*5 + O(5^2))*T^5 + O(T^6))","(2*5^2 + 5^4 + O(5^24), 2*5^2 + 4*5^3 + 5^5 + O(5^24))",4,(2 + O(5))*T + (5^-1 + 2 + O(5))*T^3 + (4*5^-1 + 3 + O(5))*T^4 + (2*5^-1 + O(5^0))*T^5 + O(T^6)
528g1,1,0.0,1.0,1.0,"((1 + O(5))*T + (5^-1 + 4 + O(5))*T^3 + (4*5^-1 + 1 + O(5))*T^4 + (5^-1 + O(5^0))*T^5 + O(T^6), (3 + 5 + O(5^2))*T + (1 + O(5^2))*T^3 + (4 + O(5^2))*T^4 + (3*5^-1 + 4 + O(5))*T^5 + O(T^6))","((2*5 + O(5^2))*T + (4 + 5 + O(5^2))*T^3 + (1 + 2*5 + O(5^2))*T^4 + (2 + O(5))*T^5 + O(T^6), (2*5 + 2*5^2 + O(5^3))*T + (4*5^2 + O(5^3))*T^3 + (5^2 + O(5^3))*T^4 + (2 + 4*5 + O(5^2))*T^5 + O(T^6))","(2*5^2 + 5^4 + O(5^24), 2*5^2 + 4*5^3 + 5^5 + O(5^24))",4,(2 + O(5))*T + (5^-1 + 2 + O(5))*T^3 + (4*5^-1 + 3 + O(5))*T^4 + (2*5^-1 + O(5^0))*T^5 + O(T^6)
542b1,1,0.0,5.0,5.0,"((4 + O(5))*T + (1 + O(5))*T^2 + (4 + O(5))*T^4 + (4*5^-1 + O(5^0))*T^5 + O(T^6), (2 + 3*5 + O(5^2))*T + (3 + 2*5 + O(5^2))*T^2 + (2 + 3*5 + O(5^2))*T^4 + (2*5^-1 + 2 + O(5))*T^5 + O(T^6))","((2*5 + O(5^2))*T + (3*5 + O(5^2))*T^2 + (2*5 + O(5^2))*T^4 + (2 + O(5))*T^5 + O(T^6), (3*5 + 3*5^2 + O(5^3))*T + (2*5 + O(5^3))*T^2 + (3*5 + 3*5^2 + O(5^3))*T^4 + (3 + 4*5 + O(5^2))*T^5 + O(T^6))","(5^2 + 5^3 + 5^4 + 5^5 + O(5^24), 4*5^2 + 4*5^3 + 4*5^5 + O(5^24))",7,(4 + O(5))*T + (1 + O(5))*T^2 + (4 + O(5))*T^4 + (4*5^-1 + O(5^0))*T^5 + O(T^6)
542b1,1,0.0,1.0,1.0,"((4 + O(5))*T + (1 + O(5))*T^2 + (4 + O(5))*T^4 + (4*5^-1 + O(5^0))*T^5 + O(T^6), (2 + 3*5 + O(5^2))*T + (3 + 2*5 + O(5^2))*T^2 + (2 + 3*5 + O(5^2))*T^4 + (2*5^-1 + 2 + O(5))*T^5 + O(T^6))","((2*5 + O(5^2))*T + (3*5 + O(5^2))*T^2 + (2*5 + O(5^2))*T^4 + (2 + O(5))*T^5 + O(T^6), (3*5 + 3*5^2 + O(5^3))*T + (2*5 + O(5^3))*T^2 + (3*5 + 3*5^2 + O(5^3))*T^4 + (3 + 4*5 + O(5^2))*T^5 + O(T^6))","(5^2 + 5^3 + 5^4 + 5^5 + O(5^24), 4*5^2 + 4*5^3 + 4*5^5 + O(5^24))",7,(4 + O(5))*T + (1 + O(5))*T^2 + (4 + O(5))*T^4 + (4*5^-1 + O(5^0))*T^5 + O(T^6)
